iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,534,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","EQUITY","Consumer Staples","Equity","417,021,997.86","417,021,997.86","4,294,326.00","97.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"RGA","REINSURANCE GROUP OF AMERICA INC","EQUITY","Financials","Equity","416,018,325.66","416,018,325.66","2,149,077.00","193.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","EQUITY","Financials","Equity","415,781,940.64","415,781,940.64","19,677,328.00","21.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"CIEN","CIENA CORP","EQUITY","Information Technology","Equity","415,150,137.78","415,150,137.78","4,622,538.00","89.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.41","0.42"
"RBC","RBC BEARINGS INC","EQUITY","Industrials","Equity","409,319,343.88","409,319,343.88","1,019,323.00","401.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.41","0.41"
"CLH","CLEAN HARBORS INC","EQUITY","Industrials","Equity","406,986,364.62","406,986,364.62","1,637,838.00","248.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.41","0.41"
"CNM","CORE & MAIN INC CLASS A","EQUITY","Industrials","Equity","403,378,582.08","403,378,582.08","6,159,392.00","65.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"EHC","ENCOMPASS HEALTH CORP","EQUITY","Health Care","Equity","402,628,019.07","402,628,019.07","3,277,929.00","122.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"BLD","TOPBUILD CORP","EQUITY","Consumer Discretionary","Equity","401,257,491.36","401,257,491.36","924,088.00","434.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","EQUITY","Real Estate","Equity","397,708,352.88","397,708,352.88","9,410,988.00","42.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"CRS","CARPENTER TECHNOLOGY CORP","EQUITY","Materials","Equity","394,808,888.11","394,808,888.11","1,618,799.00","243.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"RNR","RENAISSANCERE HOLDING LTD","EQUITY","Financials","Equity","392,222,827.68","392,222,827.68","1,582,054.00","247.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"TXRH","TEXAS ROADHOUSE INC","EQUITY","Consumer Discretionary","Equity","382,577,239.23","382,577,239.23","2,157,431.00","177.33","United States","NASDAQ","USD","1.00","USD","-","0.38","0.38"
"SF","STIFEL FINANCIAL CORP","EQUITY","Financials","Equity","381,935,599.86","381,935,599.86","3,340,642.00","114.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"RGLD","ROYAL GOLD INC","EQUITY","Materials","Equity","379,783,349.12","379,783,349.12","2,140,348.00","177.44","United States","NASDAQ","USD","1.00","USD","-","0.38","0.38"
"CCK","CROWN HOLDINGS INC","EQUITY","Materials","Equity","377,393,711.88","377,393,711.88","3,741,758.00","100.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"SCI","SERVICE","EQUITY","Consumer Discretionary","Equity","377,297,974.50","377,297,974.50","4,629,423.00","81.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","EQUITY","Real Estate","Equity","375,965,512.83","375,965,512.83","6,217,389.00","60.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"EVR","EVERCORE INC CLASS A","EQUITY","Financials","Equity","373,967,837.46","373,967,837.46","1,169,161.00","319.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.37","0.37"
"FHN","FIRST HORIZON CORP","EQUITY","Financials","Equity","371,303,688.05","371,303,688.05","16,495,055.00","22.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.37","0.37"
"AMH","AMERICAN HOMES RENT REIT CLASS A","EQUITY","Real Estate","Equity","369,563,114.64","369,563,114.64","10,334,539.00","35.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.37","0.37"
"BMRN","BIOMARIN PHARMACEUTICAL INC","EQUITY","Health Care","Equity","365,335,341.60","365,335,341.60","6,236,520.00","58.58","United States","NASDAQ","USD","1.00","USD","-","0.36","0.37"
"ALLY","ALLY FINANCIAL INC","EQUITY","Financials","Equity","364,825,927.62","364,825,927.62","8,990,289.00","40.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.36","0.36"
"UNM","UNUM","EQUITY","Financials","Equity","364,738,169.44","364,738,169.44","5,216,507.00","69.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.36","0.36"
"SNX","TD SYNNEX CORP","EQUITY","Information Technology","Equity","363,895,550.70","363,895,550.70","2,428,885.00","149.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.36","0.36"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","EQUITY","Real Estate","Equity","362,681,828.04","362,681,828.04","2,860,718.00","126.78","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"MEDP","MEDPACE HOLDINGS INC","EQUITY","Health Care","Equity","355,352,241.60","355,352,241.60","766,440.00","463.64","United States","NASDAQ","USD","1.00","USD","-","0.35","0.36"
"MTZ","MASTEC INC","EQUITY","Industrials","Equity","352,834,645.38","352,834,645.38","1,993,754.00","176.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"CNH","CNH INDUSTRIAL N.V. NV","EQUITY","Industrials","Equity","351,824,509.35","351,824,509.35","28,441,755.00","12.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
