iShares S&P 500 Value ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"201,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BX","BLACKSTONE INC","Financials","Equity","200,368,190.00","0.49","200,368,190.00","1,175,180.00","170.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","198,078,931.50","0.48","198,078,931.50","1,153,298.00","171.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","196,792,452.00","0.48","196,792,452.00","2,033,400.00","96.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","191,526,807.70","0.47","191,526,807.70","2,065,870.00","92.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","174,300,203.20","0.42","174,300,203.20","7,028,234.00","24.80","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","167,867,582.40","0.41","167,867,582.40","1,495,080.00","112.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","167,291,106.48","0.41","167,291,106.48","1,770,651.00","94.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","166,735,072.84","0.40","166,735,072.84","600,436.00","277.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","162,033,349.44","0.39","162,033,349.44","1,094,672.00","148.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","161,800,889.58","0.39","161,800,889.58","1,830,741.00","88.38","United States","NASDAQ","USD","1.00","USD","-"
