iShares S&P 500 Growth ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"549,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","206,676,335.95","0.33","206,676,335.95","274,715.00","752.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","203,348,869.92","0.32","203,348,869.92","479,472.00","424.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","193,372,044.20","0.31","193,372,044.20","1,416,230.00","136.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","188,030,126.57","0.30","188,030,126.57","1,837,847.00","102.31","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","185,132,597.10","0.29","185,132,597.10","537,130.00","344.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","182,309,959.44","0.29","182,309,959.44","737,142.00","247.32","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","176,905,066.86","0.28","176,905,066.86","1,195,143.00","148.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","176,564,758.76","0.28","176,564,758.76","317,186.00","556.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","170,079,995.76","0.27","170,079,995.76","120,756.00","1,408.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","166,498,001.28","0.26","166,498,001.28","1,191,996.00","139.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","165,827,999.55","0.26","165,827,999.55","359,005.00","461.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","158,948,686.07","0.25","158,948,686.07","737,273.00","215.59","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","154,501,125.52","0.24","154,501,125.52","391,916.00","394.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","153,188,803.65","0.24","153,188,803.65","497,447.00","307.95","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","148,406,625.00","0.24","148,406,625.00","867,875.00","171.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","147,681,885.47","0.23","147,681,885.47","35,927.00","4,110.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","146,121,000.48","0.23","146,121,000.48","497,484.00","293.72","United States","NASDAQ","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","141,893,520.00","0.22","141,893,520.00","511,328.00","277.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","139,349,612.32","0.22","139,349,612.32","384,848.00","362.09","United States","NASDAQ","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","138,949,521.62","0.22","138,949,521.62","729,547.00","190.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","136,893,253.25","0.22","136,893,253.25","543,335.00","251.95","United States","NASDAQ","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","133,916,873.58","0.21","133,916,873.58","489,069.00","273.82","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","133,478,808.61","0.21","133,478,808.61","459,907.00","290.23","United States","NASDAQ","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","130,245,931.20","0.21","130,245,931.20","970,536.00","134.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","129,933,543.95","0.21","129,933,543.95","139,721.00","929.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","126,397,586.80","0.20","126,397,586.80","2,896,370.00","43.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","125,408,927.36","0.20","125,408,927.36","206,768.00","606.52","United States","NASDAQ","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","121,827,562.56","0.19","121,827,562.56","158,994.00","766.24","United States","NASDAQ","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","121,110,464.64","0.19","121,110,464.64","318,846.00","379.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","120,540,555.52","0.19","120,540,555.52","927,806.00","129.92","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","119,259,210.52","0.19","119,259,210.52","733,948.00","162.49","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","119,147,179.50","0.19","119,147,179.50","296,165.00","402.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","118,707,114.33","0.19","118,707,114.33","721,931.00","164.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","118,430,508.24","0.19","118,430,508.24","238,776.00","495.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","116,471,511.76","0.18","116,471,511.76","659,671.00","176.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","115,721,303.04","0.18","115,721,303.04","640,512.00","180.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","112,870,353.64","0.18","112,870,353.64","322,828.00","349.63","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","112,714,806.18","0.18","112,714,806.18","1,665,654.00","67.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","109,991,446.11","0.17","109,991,446.11","822,243.00","133.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","109,350,530.80","0.17","109,350,530.80","1,366,540.00","80.02","United States","NASDAQ","USD","1.00","USD","-"
